epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0496,1.49143,6.90229,0.97307,0,0,0,0,1.15192,6.3433,0.86453,6.177e-05,6.177e-05,6.177e-05
2,48.093,1.3957,6.33557,0.87674,0.00992,0.00631,0.00313,0.00173,1.22734,6.11719,0.86166,0.000123182,0.000123182,0.000123182
3,68.7725,1.42856,5.8277,0.86368,0.02597,0.25853,0.04061,0.03163,1.06553,5.53312,0.84438,0.000182063,0.000182063,0.000182063
4,90.3602,1.28706,5.08462,0.86171,0.27213,0.25537,0.0662,0.0517,1.02382,4.97514,0.84898,0.000200348,0.000200348,0.000200348
5,111.696,1.28801,4.79454,0.84272,0.47774,0.06171,0.11227,0.08943,0.96932,4.80488,0.84321,0.00019613,0.00019613,0.00019613
6,133.677,1.22671,4.48358,0.84419,0.516,0.07088,0.11996,0.09694,0.93733,4.5542,0.84299,0.000191913,0.000191913,0.000191913
7,154.797,1.25794,4.40298,0.83963,0.4162,0.14042,0.13772,0.1079,0.93901,4.33448,0.84401,0.000187696,0.000187696,0.000187696
8,176.207,1.13464,4.05042,0.83714,0.55053,0.13455,0.1624,0.12578,0.92575,4.14813,0.84378,0.000183478,0.000183478,0.000183478
9,198.169,1.16946,3.84191,0.84754,0.61689,0.15035,0.18071,0.13964,0.91192,3.94607,0.8503,0.000179261,0.000179261,0.000179261
10,219.383,1.11939,3.66506,0.84132,0.36669,0.1978,0.19227,0.15135,0.90458,3.77627,0.84762,0.000175043,0.000175043,0.000175043
11,239.596,1.13235,3.68635,0.83459,0.53456,0.18081,0.21198,0.16666,0.8734,3.75447,0.84375,0.000170826,0.000170826,0.000170826
12,260.535,1.02271,3.38883,0.83186,0.69956,0.13617,0.21704,0.17184,0.90964,3.64906,0.84504,0.000166609,0.000166609,0.000166609
13,281.215,1.12304,3.33605,0.82808,0.63001,0.16705,0.22547,0.18277,0.86477,3.53353,0.83964,0.000162391,0.000162391,0.000162391
14,303.835,1.04614,3.22032,0.81906,0.5744,0.1917,0.23953,0.19234,0.87967,3.44793,0.83764,0.000158174,0.000158174,0.000158174
15,324.047,0.99145,3.1478,0.82301,0.64513,0.2191,0.26003,0.20681,0.85966,3.37057,0.83319,0.000153956,0.000153956,0.000153956
16,345.227,1.00649,3.14124,0.82152,0.57204,0.21502,0.26347,0.21199,0.90854,3.3212,0.83742,0.000149739,0.000149739,0.000149739
17,365.806,1.02857,2.97409,0.82908,0.53406,0.23411,0.25352,0.20466,0.83951,3.26329,0.83329,0.000145522,0.000145522,0.000145522
18,386.631,1.00437,2.95952,0.83522,0.66945,0.20135,0.29259,0.23266,0.88655,3.17641,0.83209,0.000141304,0.000141304,0.000141304
19,408.322,1.00334,2.8078,0.82586,0.55834,0.2211,0.28551,0.22643,0.86203,3.15372,0.83092,0.000137087,0.000137087,0.000137087
20,428.786,0.94371,2.85982,0.82763,0.59841,0.23555,0.28895,0.23018,0.83079,3.16274,0.82622,0.000132869,0.000132869,0.000132869
21,449.041,0.99586,2.76805,0.82233,0.56694,0.27642,0.27974,0.2219,0.84358,3.12984,0.82437,0.000128652,0.000128652,0.000128652
22,470,0.97366,2.67161,0.82142,0.42278,0.34877,0.31304,0.2469,0.85132,3.07482,0.82478,0.000124435,0.000124435,0.000124435
23,492.481,0.94272,2.63415,0.82096,0.43496,0.33517,0.3113,0.25291,0.8018,3.02167,0.82475,0.000120217,0.000120217,0.000120217
24,513.648,0.98837,2.67768,0.83438,0.42493,0.36788,0.31629,0.25136,0.82375,2.95921,0.82862,0.000116,0.000116,0.000116
25,534.515,0.92286,2.52353,0.82236,0.34526,0.38788,0.30886,0.24957,0.78551,2.88136,0.8293,0.000111782,0.000111782,0.000111782
26,556.799,0.94174,2.51691,0.8275,0.37676,0.43206,0.34612,0.27726,0.79193,2.92691,0.82374,0.000107565,0.000107565,0.000107565
27,577.133,0.93756,2.45088,0.82778,0.4253,0.38301,0.35418,0.28533,0.78271,2.84307,0.82666,0.000103348,0.000103348,0.000103348
28,597.933,0.93364,2.48312,0.8256,0.3883,0.39392,0.33272,0.27404,0.77314,2.87465,0.82649,9.91302e-05,9.91302e-05,9.91302e-05
29,620.461,0.91646,2.39161,0.82257,0.41004,0.43367,0.37179,0.29698,0.7979,2.79006,0.82643,9.49128e-05,9.49128e-05,9.49128e-05
30,641.331,0.90629,2.39568,0.80886,0.3743,0.40573,0.35175,0.28718,0.78639,2.74042,0.82494,9.06954e-05,9.06954e-05,9.06954e-05
31,661.884,0.89445,2.31913,0.80548,0.44135,0.37185,0.33648,0.27295,0.81383,2.71913,0.82678,8.6478e-05,8.6478e-05,8.6478e-05
32,682.736,0.86192,2.30402,0.82171,0.41937,0.39352,0.3628,0.29361,0.77905,2.7275,0.82319,8.22606e-05,8.22606e-05,8.22606e-05
33,702.199,0.88348,2.27549,0.81168,0.35056,0.465,0.35102,0.28399,0.7894,2.70803,0.82887,7.80432e-05,7.80432e-05,7.80432e-05
34,721.932,0.87546,2.22495,0.81111,0.56842,0.31818,0.35851,0.28725,0.76978,2.73605,0.81891,7.38258e-05,7.38258e-05,7.38258e-05
35,741.338,0.86833,2.19493,0.8164,0.49015,0.3828,0.37068,0.2988,0.76376,2.74053,0.81673,6.96084e-05,6.96084e-05,6.96084e-05
36,761.156,0.90922,2.25656,0.8186,0.38147,0.44338,0.37127,0.29428,0.76658,2.67143,0.81894,6.5391e-05,6.5391e-05,6.5391e-05
37,781.529,0.8716,2.09505,0.80461,0.64236,0.27324,0.38898,0.31079,0.76456,2.67901,0.81791,6.11736e-05,6.11736e-05,6.11736e-05
38,801.303,0.86233,2.10119,0.80715,0.41193,0.4175,0.38723,0.30951,0.77037,2.64604,0.81855,5.69562e-05,5.69562e-05,5.69562e-05
39,819.905,0.87175,2.11207,0.80963,0.41843,0.42609,0.37919,0.29673,0.79317,2.67044,0.82549,5.27388e-05,5.27388e-05,5.27388e-05
40,840.546,0.88713,2.08849,0.82328,0.48697,0.3338,0.37141,0.29493,0.77188,2.68672,0.82449,4.85214e-05,4.85214e-05,4.85214e-05
41,953.465,0.846,2.73086,0.81217,0.67479,0.27728,0.35528,0.27682,0.79592,2.73083,0.82745,4.4304e-05,4.4304e-05,4.4304e-05
42,985.535,0.82155,2.72254,0.80366,0.52169,0.30032,0.36046,0.28433,0.82234,2.70272,0.83275,4.00866e-05,4.00866e-05,4.00866e-05
43,1009.37,0.76857,2.42353,0.80676,0.71556,0.25669,0.35976,0.28488,0.80045,2.68104,0.83466,3.58692e-05,3.58692e-05,3.58692e-05
44,1031.02,0.79176,2.51376,0.79513,0.59941,0.30746,0.36606,0.29148,0.80888,2.63171,0.84014,3.16518e-05,3.16518e-05,3.16518e-05
45,1051.97,0.75887,2.42074,0.81146,0.41517,0.43422,0.36018,0.2827,0.81336,2.64793,0.83476,2.74344e-05,2.74344e-05,2.74344e-05
46,1073.12,0.80071,2.45916,0.81047,0.5968,0.28248,0.36362,0.29049,0.79027,2.6456,0.83248,2.3217e-05,2.3217e-05,2.3217e-05
47,1093.74,0.76413,2.32702,0.81705,0.64879,0.27612,0.36986,0.29956,0.77929,2.62609,0.83112,1.89996e-05,1.89996e-05,1.89996e-05
48,1115.02,0.80149,2.46019,0.80504,0.69228,0.26601,0.37069,0.29797,0.78528,2.61874,0.83323,1.47822e-05,1.47822e-05,1.47822e-05
49,1138.09,0.76768,2.4192,0.80461,0.71972,0.2546,0.37706,0.30184,0.79234,2.62648,0.83344,1.05648e-05,1.05648e-05,1.05648e-05
50,1160.6,0.75543,2.38593,0.80764,0.68534,0.27385,0.37734,0.29933,0.79523,2.63749,0.83368,6.3474e-06,6.3474e-06,6.3474e-06
