epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6105,1.48026,6.99721,0.96657,0,0,0,0,1.16654,6.36035,0.87199,6.177e-05,6.177e-05,6.177e-05
2,45.3849,1.31784,6.29219,0.86961,0.01389,0.00253,0.00132,0.00099,1.16561,6.10609,0.8535,0.000123182,0.000123182,0.000123182
3,67.8172,1.35233,5.60428,0.85806,0.01539,0.21117,0.05389,0.0407,1.04888,5.53043,0.84397,0.000182063,0.000182063,0.000182063
4,92.8812,1.30133,5.15578,0.84937,0.01392,0.43826,0.07707,0.05691,1.05873,5.12735,0.84251,0.000200348,0.000200348,0.000200348
5,120.11,1.34335,4.82981,0.85617,0.47743,0.06383,0.09788,0.07568,1.01201,4.92799,0.83992,0.00019613,0.00019613,0.00019613
6,145.085,1.31588,4.79525,0.84735,0.47298,0.11477,0.12702,0.09462,1.03693,4.65999,0.84858,0.000191913,0.000191913,0.000191913
7,168.706,1.23209,4.47353,0.83937,0.47016,0.14239,0.14853,0.12087,0.97043,4.49686,0.84465,0.000187696,0.000187696,0.000187696
8,194.134,1.20536,4.22191,0.83389,0.42558,0.15272,0.16528,0.13113,0.95183,4.23417,0.84653,0.000183478,0.000183478,0.000183478
9,220.407,1.14673,4.05275,0.8255,0.58833,0.11494,0.16039,0.12686,0.95453,4.12182,0.84688,0.000179261,0.000179261,0.000179261
10,246.497,1.12252,3.86974,0.83401,0.42672,0.22219,0.19087,0.1503,0.94747,3.95267,0.84932,0.000175043,0.000175043,0.000175043
11,273.732,1.11094,3.62913,0.83805,0.40459,0.19662,0.19486,0.15647,0.90288,3.89207,0.84845,0.000170826,0.000170826,0.000170826
12,300.018,1.07493,3.66476,0.83226,0.3759,0.23189,0.19778,0.15601,0.89848,3.77335,0.84541,0.000166609,0.000166609,0.000166609
13,326.233,1.11929,3.47473,0.84235,0.43092,0.22702,0.22126,0.17488,0.87509,3.66412,0.84324,0.000162391,0.000162391,0.000162391
14,354.319,1.08648,3.45078,0.82402,0.60103,0.20401,0.22101,0.17673,0.85899,3.57251,0.83722,0.000158174,0.000158174,0.000158174
15,380.225,1.05768,3.18834,0.81818,0.44135,0.29617,0.23748,0.18562,0.90262,3.48406,0.84044,0.000153956,0.000153956,0.000153956
16,403.935,1.01655,3.175,0.82267,0.60955,0.19057,0.25144,0.20372,0.81721,3.46542,0.83594,0.000149739,0.000149739,0.000149739
17,427.819,0.96423,3.16725,0.82614,0.44308,0.24464,0.25185,0.20412,0.82178,3.34841,0.83077,0.000145522,0.000145522,0.000145522
18,452.35,0.99069,2.94317,0.81931,0.37473,0.25009,0.26111,0.20546,0.85386,3.32066,0.83965,0.000141304,0.000141304,0.000141304
19,476.443,0.97712,2.93442,0.81473,0.60647,0.20055,0.26353,0.20774,0.8036,3.27327,0.83487,0.000137087,0.000137087,0.000137087
20,500.036,0.99225,2.84586,0.83113,0.55632,0.19166,0.26526,0.2138,0.84438,3.23065,0.84018,0.000132869,0.000132869,0.000132869
21,522.813,0.9854,2.91693,0.8315,0.67824,0.18423,0.2779,0.22088,0.81358,3.2213,0.84478,0.000128652,0.000128652,0.000128652
22,544.201,0.96356,2.70266,0.82184,0.38782,0.29998,0.28308,0.22759,0.82194,3.23879,0.83333,0.000124435,0.000124435,0.000124435
23,565.622,0.96054,2.70924,0.82316,0.42427,0.31168,0.28821,0.23436,0.79081,3.08399,0.83847,0.000120217,0.000120217,0.000120217
24,587.041,0.90985,2.61473,0.81126,0.53512,0.30229,0.31294,0.24958,0.8229,3.0616,0.84104,0.000116,0.000116,0.000116
25,608.742,0.97045,2.71267,0.80925,0.48308,0.32216,0.31662,0.25197,0.795,3.00405,0.83227,0.000111782,0.000111782,0.000111782
26,630.293,0.94637,2.63248,0.81557,0.52176,0.31996,0.34311,0.27481,0.80968,3.02068,0.83974,0.000107565,0.000107565,0.000107565
27,651.973,0.87174,2.44205,0.80941,0.41986,0.35729,0.33344,0.26833,0.78763,2.99302,0.83537,0.000103348,0.000103348,0.000103348
